Home Team,Away Team,Score,Half Time Score,Match Excitement,Home Team Rating,Away Team Rating,Home Team Possession %,Away Team Possession %,Home Team Off Target Shots,Home Team On Target Shots,Home Team Total Shots,Home Team Blocked Shots,Home Team Corners,Home Team Throw Ins,Home Team Pass Success %,Home Team Aerials Won,Home Team Clearances,Home Team Fouls,Home Team Yellow Cards,Home Team Second Yellow Cards,Home Team Red Cards,Away Team Off Target Shots,Away Team On Target Shots,Away Team Total Shots,Away Team Blocked Shots,Away Team Corners,Away Team Throw Ins,Away Team Pass Success %,Away Team Aerials Won,Away Team Clearances,Away Team Fouls,Away Team Yellow Cards,Away Team Second Yellow Cards,Away Team Red Cards
ARSENAL,LEICESTER CITY,4-3,2-2,9.9,7.7,5.2,70,30,9.0,10.0,27.0,8.0,9.0,21.0,85.0,18.0,30.0,9.0,0.0,0.0,0.0,3.0,3.0,6.0,0.0,4.0,31.0,64.0,18.0,24.0,12.0,1.0,0.0,0.0
WATFORD,LIVERPOOL,3-3,2-1,9.0,6.3,6.3,46,54,4.0,4.0,9.0,1.0,3.0,26.0,70.0,22.0,28.0,14.0,0.0,0.0,0.0,8.0,5.0,14.0,1.0,3.0,27.0,74.0,25.0,22.0,8.0,3.0,0.0,0.0
CHELSEA,BURNLEY,2-3,0-3,9.6,4.7,6.9,62,38,6.0,6.0,19.0,7.0,8.0,13.0,86.0,17.0,22.0,16.0,4.0,1.0,1.0,4.0,5.0,10.0,1.0,5.0,7.0,75.0,22.0,42.0,11.0,3.0,0.0,0.0
EVERTON,STOKE,1-0,1-0,3.0,7.2,6.2,62,38,3.0,4.0,9.0,2.0,6.0,24.0,79.0,19.0,43.0,13.0,1.0,0.0,0.0,6.0,1.0,9.0,2.0,7.0,27.0,72.0,25.0,24.0,10.0,1.0,0.0,0.0
WEST BROM,BOURNEMOUTH,1-0,1-0,3.6,6.9,5.6,29,71,9.0,6.0,16.0,1.0,8.0,30.0,65.0,12.0,26.0,15.0,3.0,0.0,0.0,2.0,2.0,9.0,5.0,2.0,14.0,86.0,18.0,17.0,3.0,1.0,0.0,0.0
SOUTHAMPTON,SWANSEA,0-0,0-0,2.8,6.1,6.4,60,40,16.0,2.0,29.0,11.0,13.0,26.0,83.0,17.0,11.0,10.0,2.0,0.0,0.0,2.0,0.0,4.0,2.0,0.0,15.0,78.0,18.0,38.0,13.0,1.0,0.0,0.0
CRYSTAL PALACE,HUDDERSFIELD,0-3,0-2,5.2,5.1,7.8,57,43,7.0,4.0,14.0,3.0,12.0,19.0,78.0,18.0,18.0,7.0,1.0,0.0,0.0,3.0,6.0,9.0,0.0,9.0,30.0,65.0,16.0,29.0,19.0,3.0,0.0,0.0
BRIGHTON,MAN CITY,0-2,0-0,4.3,5.3,7.1,22,78,2.0,2.0,6.0,2.0,3.0,18.0,61.0,13.0,39.0,6.0,0.0,0.0,0.0,5.0,4.0,14.0,5.0,10.0,17.0,90.0,13.0,8.0,9.0,2.0,0.0,0.0
NEWCASTLE,TOTTENHAM,0-2,0-0,4.6,5.0,7.3,27,73,4.0,2.0,6.0,0.0,5.0,26.0,64.0,16.0,29.0,6.0,1.0,0.0,1.0,5.0,6.0,18.0,7.0,7.0,26.0,89.0,15.0,22.0,10.0,2.0,0.0,0.0
MAN UTD,WEST HAM,4-0,1-0,6.5,8.3,4.8,55,45,8.0,5.0,21.0,8.0,11.0,21.0,85.0,23.0,19.0,19.0,2.0,0.0,0.0,6.0,1.0,9.0,2.0,1.0,13.0,80.0,13.0,26.0,7.0,2.0,0.0,0.0
