Home Team,Away Team,Score,Half Time Score,Match Excitement,Home Team Rating,Away Team Rating,Home Team Possession %,Away Team Possession %,Home Team Off Target Shots,Home Team On Target Shots,Home Team Total Shots,Home Team Blocked Shots,Home Team Corners,Home Team Throw Ins,Home Team Pass Success %,Home Team Aerials Won,Home Team Clearances,Home Team Fouls,Home Team Yellow Cards,Home Team Second Yellow Cards,Home Team Red Cards,Away Team Off Target Shots,Away Team On Target Shots,Away Team Total Shots,Away Team Blocked Shots,Away Team Corners,Away Team Throw Ins,Away Team Pass Success %,Away Team Aerials Won,Away Team Clearances,Away Team Fouls,Away Team Yellow Cards,Away Team Second Yellow Cards,Away Team Red Cards
SWANSEA,MAN UTD,0-4,0-1,6.5,4.8,8.8,41,59,5.0,1.0,5.0,0.0,3.0,23.0,78.0,19.0,28.0,12.0,1.0,0.0,0.0,6.0,8.0,17.0,3.0,5.0,13.0,87.0,11.0,26.0,11.0,1.0,0.0,0.0
LIVERPOOL,CRYSTAL PALACE,1-0,0-0,4.1,8.1,5.2,72,28,5.0,13.0,23.0,5.0,4.0,23.0,85.0,20.0,11.0,12.0,1.0,0.0,0.0,2.0,1.0,4.0,1.0,2.0,20.0,66.0,13.0,26.0,13.0,3.0,0.0,0.0
LEICESTER CITY,BRIGHTON,2-0,1-0,3.8,6.9,5.5,45,55,4.0,4.0,14.0,6.0,6.0,17.0,78.0,17.0,16.0,8.0,1.0,0.0,0.0,0.0,2.0,5.0,3.0,2.0,22.0,83.0,16.0,20.0,10.0,0.0,0.0,0.0
BURNLEY,WEST BROM,0-1,0-0,2.8,5.5,6.4,68,32,15.0,0.0,20.0,5.0,5.0,22.0,79.0,24.0,33.0,11.0,1.0,0.0,0.0,5.0,1.0,8.0,2.0,5.0,29.0,56.0,20.0,36.0,11.0,0.0,0.0,1.0
SOUTHAMPTON,WEST HAM,3-2,2-1,9.5,6.2,5.1,66,34,6.0,5.0,14.0,3.0,7.0,16.0,86.0,16.0,19.0,18.0,1.0,0.0,0.0,6.0,8.0,16.0,2.0,2.0,13.0,67.0,25.0,38.0,10.0,1.0,0.0,1.0
BOURNEMOUTH,WATFORD,0-2,0-0,5.0,5.1,7.4,56,44,1.0,2.0,6.0,3.0,8.0,21.0,77.0,16.0,31.0,6.0,1.0,0.0,0.0,7.0,7.0,19.0,5.0,5.0,26.0,78.0,17.0,28.0,14.0,3.0,0.0,0.0
STOKE,ARSENAL,1-0,0-0,3.8,6.9,6.0,23,77,5.0,4.0,11.0,2.0,2.0,13.0,64.0,18.0,35.0,6.0,0.0,0.0,0.0,6.0,6.0,18.0,6.0,9.0,21.0,87.0,9.0,9.0,11.0,0.0,0.0,0.0
HUDDERSFIELD,NEWCASTLE,1-0,0-0,3.3,6.6,5.9,53,47,3.0,3.0,7.0,1.0,7.0,23.0,77.0,24.0,29.0,13.0,3.0,0.0,0.0,3.0,5.0,13.0,5.0,3.0,29.0,71.0,12.0,27.0,10.0,4.0,0.0,0.0
TOTTENHAM,CHELSEA,1-2,0-1,7.0,6.1,6.5,68,32,6.0,6.0,18.0,6.0,14.0,25.0,85.0,12.0,14.0,14.0,4.0,0.0,0.0,4.0,2.0,9.0,3.0,3.0,8.0,70.0,16.0,40.0,21.0,3.0,0.0,0.0
MAN CITY,EVERTON,1-1,0-1,5.5,6.1,6.0,65,35,9.0,6.0,19.0,4.0,7.0,29.0,82.0,22.0,6.0,7.0,2.0,1.0,0.0,5.0,2.0,7.0,0.0,1.0,31.0,66.0,12.0,30.0,9.0,3.0,1.0,0.0
BOURNEMOUTH,MAN CITY,1-2,1-1,7.0,4.8,6.9,30,70,3.0,3.0,9.0,3.0,2.0,19.0,59.0,13.0,31.0,13.0,5.0,0.0,0.0,7.0,8.0,19.0,4.0,5.0,35.0,87.0,23.0,35.0,14.0,5.0,1.0,0.0
NEWCASTLE,WEST HAM,3-0,1-0,5.6,7.4,4.8,37,63,6.0,8.0,17.0,3.0,7.0,19.0,62.0,25.0,21.0,17.0,1.0,0.0,0.0,5.0,3.0,8.0,0.0,5.0,32.0,76.0,16.0,22.0,11.0,3.0,0.0,0.0
HUDDERSFIELD,SOUTHAMPTON,0-0,0-0,2.6,6.4,6.2,45,55,4.0,6.0,16.0,6.0,5.0,27.0,70.0,25.0,19.0,10.0,0.0,0.0,0.0,3.0,3.0,6.0,1.0,4.0,28.0,76.0,18.0,29.0,10.0,1.0,0.0,0.0
CRYSTAL PALACE,SWANSEA,0-2,0-1,3.9,5.2,7.1,53,47,12.0,3.0,16.0,1.0,1.0,27.0,83.0,21.0,9.0,9.0,4.0,0.0,0.0,2.0,3.0,7.0,2.0,1.0,20.0,80.0,18.0,28.0,6.0,1.0,0.0,0.0
WATFORD,BRIGHTON,0-0,0-0,2.8,5.8,6.1,42,58,5.0,0.0,8.0,3.0,3.0,29.0,73.0,20.0,36.0,7.0,0.0,0.0,1.0,8.0,2.0,16.0,6.0,11.0,15.0,83.0,20.0,22.0,18.0,1.0,0.0,0.0
MAN UTD,LEICESTER CITY,2-0,0-0,5.4,7.0,5.6,69,31,7.0,7.0,22.0,8.0,9.0,19.0,87.0,22.0,17.0,8.0,1.0,0.0,0.0,5.0,4.0,11.0,2.0,3.0,14.0,69.0,24.0,41.0,7.0,2.0,0.0,0.0
CHELSEA,EVERTON,2-0,2-0,4.5,6.9,5.6,57,43,4.0,7.0,18.0,7.0,6.0,26.0,86.0,16.0,23.0,12.0,2.0,0.0,0.0,5.0,0.0,7.0,2.0,3.0,20.0,81.0,10.0,28.0,7.0,2.0,0.0,0.0
WEST BROM,STOKE,1-1,0-0,4.5,6.4,6.3,43,57,8.0,2.0,10.0,1.0,10.0,21.0,76.0,13.0,24.0,10.0,2.0,0.0,0.0,9.0,2.0,16.0,5.0,4.0,19.0,87.0,29.0,40.0,9.0,2.0,0.0,0.0
LIVERPOOL,ARSENAL,4-0,2-0,5.7,8.5,4.6,49,51,5.0,10.0,18.0,3.0,4.0,17.0,81.0,11.0,19.0,6.0,2.0,0.0,0.0,6.0,0.0,8.0,2.0,3.0,18.0,81.0,14.0,21.0,9.0,4.0,0.0,0.0
TOTTENHAM,BURNLEY,1-1,0-0,5.4,6.4,6.5,67,33,6.0,5.0,28.0,17.0,10.0,14.0,86.0,15.0,19.0,9.0,0.0,0.0,0.0,8.0,3.0,13.0,2.0,7.0,13.0,71.0,27.0,36.0,9.0,0.0,0.0,0.0
MAN CITY,LIVERPOOL,5-0,2-0,6.9,9.3,4.2,66,34,3.0,10.0,13.0,0.0,8.0,21.0,90.0,9.0,14.0,10.0,2.0,0.0,0.0,2.0,3.0,7.0,2.0,3.0,17.0,77.0,4.0,22.0,9.0,2.0,0.0,1.0
ARSENAL,BOURNEMOUTH,3-0,2-0,5.6,8.2,5.0,58,42,4.0,9.0,17.0,4.0,10.0,26.0,80.0,18.0,20.0,14.0,0.0,0.0,0.0,5.0,2.0,7.0,0.0,3.0,27.0,73.0,18.0,19.0,10.0,1.0,0.0,0.0
EVERTON,TOTTENHAM,0-3,0-2,5.0,4.9,7.8,51,49,5.0,1.0,12.0,6.0,7.0,19.0,81.0,12.0,22.0,14.0,3.0,0.0,0.0,6.0,6.0,15.0,3.0,3.0,22.0,80.0,15.0,31.0,14.0,1.0,0.0,0.0
LEICESTER CITY,CHELSEA,1-2,0-1,5.4,5.7,6.9,40,60,3.0,2.0,8.0,3.0,2.0,23.0,75.0,12.0,21.0,11.0,1.0,0.0,0.0,5.0,6.0,16.0,5.0,9.0,17.0,83.0,7.0,20.0,8.0,0.0,0.0,0.0
SOUTHAMPTON,WATFORD,0-2,0-1,3.3,5.3,7.8,53,47,3.0,1.0,9.0,5.0,7.0,32.0,72.0,19.0,22.0,8.0,0.0,0.0,0.0,5.0,3.0,12.0,4.0,4.0,26.0,72.0,23.0,34.0,11.0,0.0,0.0,0.0
BRIGHTON,WEST BROM,3-1,1-0,5.6,7.3,5.6,49,51,3.0,6.0,12.0,3.0,2.0,16.0,81.0,15.0,35.0,9.0,2.0,0.0,0.0,6.0,3.0,12.0,3.0,6.0,28.0,82.0,24.0,26.0,4.0,0.0,0.0,0.0
STOKE,MAN UTD,2-2,1-1,7.9,6.3,6.5,37,63,4.0,5.0,10.0,1.0,5.0,13.0,76.0,13.0,24.0,10.0,0.0,0.0,0.0,5.0,8.0,18.0,5.0,11.0,24.0,87.0,16.0,15.0,10.0,0.0,0.0,0.0
BURNLEY,CRYSTAL PALACE,1-0,1-0,3.1,6.1,6.2,35,65,2.0,2.0,4.0,0.0,3.0,24.0,63.0,23.0,52.0,7.0,1.0,0.0,0.0,6.0,4.0,23.0,13.0,13.0,33.0,76.0,17.0,20.0,14.0,1.0,0.0,0.0
SWANSEA,NEWCASTLE,0-1,0-0,3.8,5.6,7.1,62,38,5.0,4.0,10.0,1.0,7.0,21.0,81.0,21.0,28.0,11.0,2.0,0.0,0.0,3.0,8.0,16.0,5.0,5.0,14.0,73.0,16.0,34.0,15.0,3.0,0.0,0.0
WEST HAM,HUDDERSFIELD,2-0,0-0,4.6,7.1,5.7,43,57,10.0,3.0,19.0,6.0,10.0,27.0,69.0,34.0,23.0,11.0,1.0,0.0,0.0,1.0,2.0,10.0,7.0,3.0,20.0,77.0,26.0,44.0,14.0,2.0,0.0,0.0
BOURNEMOUTH,BRIGHTON,2-1,0-0,5.3,6.7,6.0,62,38,5.0,3.0,15.0,7.0,6.0,16.0,89.0,23.0,14.0,5.0,0.0,0.0,0.0,5.0,2.0,9.0,2.0,4.0,23.0,74.0,17.0,25.0,12.0,0.0,0.0,0.0
CRYSTAL PALACE,SOUTHAMPTON,0-1,0-1,3.5,5.5,6.7,46,54,9.0,3.0,14.0,2.0,5.0,17.0,76.0,20.0,22.0,14.0,5.0,0.0,0.0,4.0,4.0,13.0,5.0,5.0,17.0,80.0,20.0,36.0,13.0,1.0,0.0,0.0
LIVERPOOL,BURNLEY,1-1,1-1,5.9,6.9,5.7,71,29,14.0,9.0,35.0,12.0,12.0,29.0,86.0,8.0,9.0,7.0,1.0,0.0,0.0,1.0,4.0,5.0,0.0,2.0,10.0,66.0,15.0,37.0,9.0,2.0,0.0,0.0
NEWCASTLE,STOKE,2-1,1-0,5.2,6.5,6.2,42,58,6.0,3.0,14.0,5.0,7.0,22.0,71.0,23.0,37.0,13.0,3.0,0.0,0.0,7.0,4.0,13.0,2.0,5.0,43.0,75.0,22.0,25.0,11.0,1.0,0.0,0.0
WEST BROM,WEST HAM,0-0,0-0,2.0,6.3,6.2,37,63,3.0,1.0,6.0,2.0,2.0,17.0,73.0,6.0,24.0,15.0,2.0,0.0,0.0,5.0,1.0,9.0,3.0,3.0,22.0,85.0,15.0,16.0,7.0,2.0,0.0,0.0
HUDDERSFIELD,LEICESTER CITY,1-1,0-0,4.1,6.1,6.3,60,40,6.0,3.0,15.0,6.0,8.0,33.0,79.0,24.0,31.0,6.0,1.0,0.0,0.0,4.0,1.0,10.0,5.0,4.0,35.0,72.0,27.0,38.0,6.0,1.0,0.0,0.0
WATFORD,MAN CITY,0-6,0-3,7.5,3.4,9.9,33,67,5.0,1.0,7.0,1.0,3.0,17.0,76.0,12.0,22.0,8.0,2.0,0.0,0.0,10.0,10.0,28.0,8.0,11.0,15.0,90.0,14.0,24.0,6.0,0.0,0.0,0.0
TOTTENHAM,SWANSEA,0-0,0-0,3.3,6.6,5.7,75,25,14.0,8.0,26.0,4.0,11.0,27.0,89.0,17.0,11.0,11.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,1.0,7.0,64.0,13.0,44.0,9.0,3.0,0.0,0.0
CHELSEA,ARSENAL,0-0,0-0,2.8,6.1,6.6,51,49,3.0,4.0,13.0,6.0,5.0,26.0,78.0,17.0,21.0,11.0,2.0,0.0,1.0,5.0,2.0,11.0,4.0,1.0,15.0,79.0,20.0,24.0,15.0,3.0,0.0,0.0
MAN UTD,EVERTON,4-0,1-0,6.6,7.9,4.9,49,51,5.0,7.0,16.0,4.0,4.0,18.0,85.0,14.0,13.0,15.0,1.0,0.0,0.0,2.0,3.0,7.0,2.0,1.0,19.0,81.0,8.0,29.0,14.0,1.0,0.0,0.0
WEST HAM,TOTTENHAM,2-3,0-2,8.6,5.7,6.4,49,51,5.0,4.0,10.0,1.0,4.0,28.0,71.0,16.0,23.0,10.0,4.0,0.0,0.0,7.0,5.0,15.0,3.0,3.0,29.0,74.0,22.0,39.0,20.0,3.0,1.0,0.0
MAN CITY,CRYSTAL PALACE,5-0,1-0,6.7,8.8,4.4,72,28,7.0,9.0,25.0,9.0,8.0,21.0,91.0,10.0,6.0,6.0,3.0,0.0,0.0,2.0,0.0,5.0,3.0,2.0,21.0,73.0,10.0,30.0,7.0,1.0,0.0,0.0
SWANSEA,WATFORD,1-2,0-1,5.5,5.9,6.8,51,49,3.0,3.0,10.0,4.0,5.0,24.0,75.0,23.0,17.0,9.0,1.0,0.0,0.0,2.0,4.0,8.0,2.0,4.0,22.0,79.0,29.0,43.0,16.0,3.0,0.0,0.0
STOKE,CHELSEA,0-4,0-2,4.9,5.1,8.5,44,56,7.0,2.0,13.0,4.0,5.0,27.0,78.0,7.0,8.0,5.0,2.0,0.0,0.0,3.0,4.0,7.0,0.0,0.0,17.0,85.0,11.0,29.0,14.0,2.0,0.0,0.0
EVERTON,BOURNEMOUTH,2-1,0-0,5.7,6.6,6.0,51,49,5.0,3.0,12.0,4.0,4.0,25.0,78.0,15.0,24.0,12.0,3.0,0.0,0.0,2.0,4.0,8.0,2.0,6.0,20.0,77.0,14.0,22.0,11.0,1.0,0.0,0.0
BURNLEY,HUDDERSFIELD,0-0,0-0,1.9,6.1,6.7,52,48,1.0,2.0,4.0,1.0,3.0,31.0,73.0,26.0,22.0,9.0,3.0,0.0,0.0,5.0,2.0,9.0,2.0,4.0,31.0,76.0,22.0,35.0,14.0,2.0,0.0,0.0
SOUTHAMPTON,MAN UTD,0-1,0-1,3.5,6.1,6.6,61,39,6.0,4.0,14.0,4.0,8.0,21.0,83.0,6.0,10.0,12.0,1.0,0.0,0.0,3.0,4.0,9.0,2.0,4.0,18.0,78.0,18.0,40.0,9.0,4.0,0.0,0.0
LEICESTER CITY,LIVERPOOL,2-3,1-2,8.7,5.4,6.3,43,57,2.0,7.0,12.0,3.0,3.0,41.0,66.0,24.0,26.0,13.0,3.0,0.0,0.0,9.0,6.0,23.0,8.0,6.0,25.0,72.0,30.0,34.0,14.0,3.0,0.0,0.0
BRIGHTON,NEWCASTLE,1-0,0-0,3.7,6.5,6.2,49,51,2.0,3.0,7.0,2.0,2.0,25.0,77.0,33.0,40.0,6.0,2.0,0.0,0.0,7.0,5.0,17.0,5.0,8.0,28.0,80.0,21.0,29.0,8.0,1.0,0.0,0.0
ARSENAL,WEST BROM,2-0,1-0,4.7,7.0,5.5,69,31,6.0,6.0,16.0,4.0,7.0,19.0,87.0,24.0,24.0,8.0,1.0,0.0,0.0,3.0,3.0,7.0,1.0,4.0,16.0,69.0,21.0,23.0,17.0,4.0,0.0,0.0
HUDDERSFIELD,TOTTENHAM,0-4,0-3,5.9,4.9,8.4,40,60,2.0,1.0,6.0,3.0,4.0,31.0,73.0,11.0,25.0,7.0,1.0,0.0,0.0,5.0,7.0,14.0,2.0,7.0,30.0,81.0,14.0,31.0,4.0,1.0,0.0,0.0
WEST BROM,WATFORD,2-2,2-1,7.4,6.6,6.3,35,65,3.0,4.0,9.0,2.0,7.0,11.0,69.0,31.0,45.0,12.0,3.0,0.0,0.0,6.0,3.0,15.0,6.0,6.0,22.0,84.0,27.0,22.0,11.0,0.0,0.0,0.0
MAN UTD,CRYSTAL PALACE,4-0,2-0,5.4,8.3,4.8,59,41,6.0,7.0,18.0,5.0,6.0,21.0,84.0,17.0,18.0,6.0,0.0,0.0,0.0,4.0,1.0,6.0,1.0,5.0,17.0,78.0,8.0,18.0,9.0,0.0,0.0,0.0
WEST HAM,SWANSEA,1-0,0-0,3.3,6.9,5.7,43,57,3.0,4.0,9.0,2.0,2.0,29.0,77.0,24.0,25.0,15.0,3.0,0.0,0.0,3.0,1.0,6.0,2.0,1.0,29.0,82.0,19.0,18.0,13.0,2.0,0.0,0.0
BOURNEMOUTH,LEICESTER CITY,0-0,0-0,2.7,6.5,5.9,61,39,10.0,4.0,19.0,5.0,7.0,23.0,81.0,24.0,31.0,6.0,1.0,0.0,0.0,4.0,1.0,8.0,3.0,5.0,18.0,64.0,27.0,38.0,10.0,0.0,0.0,0.0
STOKE,SOUTHAMPTON,2-1,1-0,6.6,6.8,5.6,29,71,1.0,6.0,17.0,10.0,5.0,21.0,65.0,29.0,42.0,11.0,1.0,0.0,0.0,12.0,3.0,21.0,6.0,6.0,20.0,86.0,21.0,19.0,10.0,2.0,0.0,0.0
CHELSEA,MAN CITY,0-1,0-0,3.6,5.8,7.5,38,62,2.0,2.0,4.0,0.0,4.0,25.0,79.0,7.0,20.0,8.0,0.0,0.0,0.0,6.0,6.0,17.0,5.0,8.0,19.0,89.0,18.0,20.0,13.0,2.0,0.0,0.0
ARSENAL,BRIGHTON,2-0,1-0,5.5,8.3,5.0,65,35,8.0,11.0,25.0,6.0,6.0,17.0,88.0,30.0,23.0,7.0,0.0,0.0,0.0,5.0,1.0,9.0,3.0,5.0,26.0,75.0,13.0,22.0,8.0,2.0,0.0,0.0
EVERTON,BURNLEY,0-1,0-1,3.4,5.7,6.2,63,37,13.0,4.0,25.0,8.0,9.0,15.0,79.0,32.0,43.0,14.0,2.0,0.0,0.0,1.0,2.0,5.0,2.0,3.0,18.0,61.0,35.0,60.0,7.0,2.0,0.0,0.0
NEWCASTLE,LIVERPOOL,1-1,1-1,4.8,6.6,6.3,32,68,1.0,5.0,8.0,2.0,1.0,21.0,66.0,17.0,35.0,11.0,1.0,0.0,0.0,9.0,2.0,17.0,6.0,5.0,24.0,84.0,20.0,14.0,6.0,1.0,0.0,0.0
LIVERPOOL,MAN UTD,0-0,0-0,2.6,7.0,6.1,62,38,8.0,5.0,19.0,6.0,7.0,32.0,86.0,11.0,24.0,7.0,0.0,0.0,0.0,2.0,1.0,6.0,3.0,3.0,23.0,75.0,11.0,28.0,13.0,2.0,0.0,0.0
MAN CITY,STOKE,7-2,3-1,6.9,8.8,3.5,79,21,9.0,11.0,20.0,0.0,5.0,18.0,91.0,18.0,6.0,5.0,0.0,0.0,0.0,3.0,1.0,5.0,1.0,0.0,13.0,66.0,7.0,16.0,8.0,1.0,0.0,0.0
SWANSEA,HUDDERSFIELD,2-0,1-0,4.0,7.5,5.4,40,60,2.0,3.0,7.0,2.0,5.0,23.0,78.0,20.0,15.0,12.0,1.0,0.0,0.0,1.0,2.0,7.0,4.0,3.0,18.0,85.0,13.0,16.0,16.0,5.0,0.0,0.0
TOTTENHAM,BOURNEMOUTH,1-0,0-0,3.6,7.1,5.2,73,27,4.0,6.0,18.0,8.0,9.0,32.0,89.0,19.0,18.0,9.0,1.0,0.0,0.0,3.0,1.0,5.0,1.0,5.0,19.0,67.0,16.0,31.0,7.0,3.0,0.0,0.0
BURNLEY,WEST HAM,1-1,0-1,5.5,5.8,6.0,62,38,8.0,5.0,20.0,7.0,7.0,21.0,78.0,30.0,15.0,11.0,2.0,0.0,0.0,1.0,6.0,8.0,1.0,4.0,18.0,66.0,25.0,30.0,14.0,3.0,1.0,0.0
CRYSTAL PALACE,CHELSEA,2-1,2-1,6.4,6.9,6.1,43,57,6.0,5.0,14.0,3.0,5.0,23.0,72.0,5.0,24.0,7.0,2.0,0.0,0.0,6.0,5.0,15.0,4.0,8.0,19.0,82.0,24.0,37.0,6.0,1.0,0.0,0.0
WATFORD,ARSENAL,2-1,0-1,6.0,6.7,5.8,46,54,6.0,2.0,11.0,3.0,2.0,19.0,78.0,22.0,24.0,8.0,1.0,0.0,0.0,3.0,6.0,9.0,0.0,5.0,15.0,80.0,30.0,36.0,10.0,0.0,0.0,0.0
BRIGHTON,EVERTON,1-1,0-0,5.1,5.8,6.8,47,53,3.0,3.0,12.0,6.0,7.0,18.0,74.0,25.0,26.0,12.0,4.0,0.0,0.0,5.0,6.0,13.0,2.0,1.0,22.0,78.0,24.0,31.0,10.0,1.0,0.0,0.0
SOUTHAMPTON,NEWCASTLE,2-2,0-1,7.1,6.1,6.3,62,38,6.0,2.0,12.0,4.0,3.0,24.0,85.0,28.0,32.0,11.0,1.0,0.0,0.0,8.0,5.0,19.0,6.0,8.0,19.0,75.0,18.0,39.0,12.0,2.0,0.0,0.0
LEICESTER CITY,WEST BROM,1-1,0-0,3.9,6.3,6.8,57,43,4.0,3.0,11.0,4.0,4.0,35.0,76.0,19.0,18.0,13.0,2.0,0.0,0.0,3.0,1.0,5.0,1.0,1.0,31.0,72.0,20.0,28.0,6.0,2.0,0.0,0.0
WEST HAM,BRIGHTON,0-3,0-2,4.9,4.9,7.9,65,35,5.0,2.0,16.0,9.0,10.0,25.0,84.0,15.0,3.0,5.0,1.0,0.0,0.0,1.0,5.0,7.0,1.0,3.0,17.0,74.0,22.0,45.0,13.0,0.0,0.0,0.0
CHELSEA,WATFORD,4-2,1-1,9.1,7.5,5.2,52,48,5.0,8.0,14.0,1.0,6.0,11.0,82.0,24.0,28.0,13.0,2.0,0.0,0.0,6.0,5.0,16.0,5.0,6.0,22.0,80.0,16.0,13.0,16.0,3.0,0.0,0.0
MAN CITY,BURNLEY,3-0,1-0,5.0,8.0,4.6,77,23,4.0,10.0,15.0,1.0,4.0,26.0,90.0,13.0,17.0,10.0,2.0,0.0,0.0,3.0,0.0,6.0,3.0,5.0,16.0,66.0,6.0,20.0,6.0,3.0,0.0,0.0
SWANSEA,LEICESTER CITY,1-2,0-1,5.8,5.6,7.0,56,44,8.0,4.0,19.0,7.0,7.0,31.0,82.0,18.0,21.0,6.0,0.0,0.0,0.0,3.0,6.0,11.0,2.0,6.0,22.0,72.0,20.0,29.0,9.0,1.0,0.0,0.0
NEWCASTLE,CRYSTAL PALACE,1-0,0-0,3.1,6.1,5.9,55,45,1.0,3.0,7.0,3.0,3.0,22.0,80.0,23.0,30.0,12.0,4.0,0.0,0.0,7.0,0.0,10.0,3.0,5.0,31.0,72.0,27.0,28.0,14.0,2.0,0.0,0.0
STOKE,BOURNEMOUTH,1-2,0-2,4.8,5.4,6.6,52,48,6.0,3.0,11.0,2.0,8.0,30.0,71.0,23.0,9.0,17.0,0.0,0.0,0.0,3.0,3.0,7.0,1.0,3.0,23.0,72.0,20.0,42.0,10.0,1.0,0.0,0.0
HUDDERSFIELD,MAN UTD,2-1,2-0,5.0,6.8,5.8,22,78,0.0,3.0,5.0,2.0,4.0,13.0,55.0,15.0,49.0,10.0,4.0,0.0,0.0,3.0,3.0,9.0,3.0,7.0,28.0,87.0,15.0,17.0,12.0,2.0,0.0,0.0
SOUTHAMPTON,WEST BROM,1-0,0-0,4.2,7.1,5.5,66,34,11.0,6.0,20.0,3.0,8.0,16.0,84.0,20.0,30.0,10.0,0.0,0.0,0.0,4.0,2.0,7.0,1.0,3.0,16.0,67.0,21.0,31.0,8.0,1.0,0.0,0.0
EVERTON,ARSENAL,2-5,1-1,10.0,4.1,8.2,32,68,4.0,3.0,9.0,2.0,0.0,16.0,69.0,18.0,30.0,14.0,2.0,1.0,0.0,8.0,14.0,30.0,8.0,7.0,30.0,84.0,13.0,23.0,14.0,1.0,0.0,0.0
TOTTENHAM,LIVERPOOL,4-1,3-1,6.9,7.4,5.8,36,64,5.0,6.0,14.0,3.0,3.0,24.0,76.0,10.0,29.0,2.0,0.0,0.0,0.0,1.0,7.0,12.0,4.0,5.0,32.0,87.0,8.0,12.0,8.0,1.0,0.0,0.0
MAN UTD,TOTTENHAM,1-0,0-0,3.8,6.6,6.1,45,55,5.0,3.0,11.0,3.0,6.0,28.0,70.0,16.0,30.0,12.0,1.0,0.0,0.0,5.0,4.0,13.0,4.0,3.0,29.0,77.0,13.0,33.0,14.0,0.0,0.0,0.0
WATFORD,STOKE,0-1,0-1,2.9,5.5,6.8,70,30,7.0,0.0,15.0,8.0,8.0,29.0,81.0,22.0,14.0,10.0,4.0,0.0,0.0,3.0,2.0,6.0,1.0,1.0,26.0,60.0,32.0,57.0,9.0,4.0,0.0,0.0
