Home Team,Away Team,Score,Half Time Score,Match Excitement,Home Team Rating,Away Team Rating,Home Team Possession %,Away Team Possession %,Home Team Off Target Shots,Home Team On Target Shots,Home Team Total Shots,Home Team Blocked Shots,Home Team Corners,Home Team Throw Ins,Home Team Pass Success %,Home Team Aerials Won,Home Team Clearances,Home Team Fouls,Home Team Yellow Cards,Home Team Second Yellow Cards,Home Team Red Cards,Away Team Off Target Shots,Away Team On Target Shots,Away Team Total Shots,Away Team Blocked Shots,Away Team Corners,Away Team Throw Ins,Away Team Pass Success %,Away Team Aerials Won,Away Team Clearances,Away Team Fouls,Away Team Yellow Cards,Away Team Second Yellow Cards,Away Team Red Cards
MAN UTD,LEICESTER CITY,2-1,1-0,6.4,7.4,5.6,46,54,1.0,6.0,8.0,1.0,2.0,20.0,82.0,10.0,37.0,11.0,2.0,0.0,0.0,3.0,4.0,13.0,6.0,5.0,18.0,83.0,13.0,14.0,8.0,1.0,0.0,0.0
NEWCASTLE,TOTTENHAM,1-2,1-2,6.0,5.8,7.0,40,60,8.0,2.0,15.0,5.0,3.0,36.0,69.0,33.0,17.0,11.0,2.0,0.0,0.0,7.0,5.0,15.0,3.0,5.0,24.0,82.0,21.0,43.0,12.0,2.0,0.0,0.0
HUDDERSFIELD,CHELSEA,0-3,0-2,5.5,5.1,8.2,37,63,4.0,1.0,6.0,1.0,2.0,23.0,76.0,22.0,13.0,9.0,2.0,0.0,0.0,3.0,4.0,13.0,6.0,5.0,30.0,88.0,17.0,21.0,8.0,1.0,0.0,0.0
WATFORD,BRIGHTON,2-0,1-0,4.1,6.7,5.5,53,47,9.0,5.0,19.0,5.0,8.0,16.0,75.0,16.0,11.0,10.0,2.0,0.0,0.0,5.0,0.0,6.0,1.0,2.0,19.0,77.0,24.0,26.0,16.0,2.0,0.0,0.0
BOURNEMOUTH,CARDIFF,2-0,1-0,4.5,6.9,5.2,63,37,6.0,4.0,12.0,2.0,7.0,31.0,79.0,32.0,37.0,11.0,1.0,0.0,0.0,5.0,1.0,10.0,4.0,4.0,20.0,61.0,31.0,30.0,9.0,1.0,0.0,0.0
FULHAM,CRYSTAL PALACE,0-2,0-1,5.4,5.7,7.8,66,34,4.0,6.0,15.0,5.0,5.0,16.0,88.0,10.0,22.0,9.0,1.0,0.0,0.0,0.0,10.0,12.0,2.0,5.0,25.0,74.0,20.0,30.0,11.0,2.0,0.0,0.0
WOLVES,EVERTON,2-2,1-1,7.2,6.1,6.4,57,43,5.0,4.0,11.0,2.0,3.0,31.0,83.0,21.0,23.0,8.0,0.0,0.0,0.0,3.0,5.0,8.0,0.0,6.0,19.0,75.0,24.0,28.0,7.0,1.0,0.0,1.0
SOUTHAMPTON,BURNLEY,0-0,0-0,3.3,6.1,6.4,48,52,6.0,3.0,18.0,9.0,8.0,23.0,76.0,25.0,31.0,10.0,0.0,0.0,0.0,6.0,6.0,16.0,4.0,5.0,15.0,76.0,28.0,35.0,9.0,1.0,0.0,0.0
LIVERPOOL,WEST HAM,4-0,2-0,6.0,8.5,4.9,65,35,7.0,8.0,18.0,3.0,5.0,12.0,90.0,7.0,8.0,14.0,1.0,0.0,0.0,2.0,2.0,5.0,1.0,4.0,19.0,83.0,10.0,20.0,9.0,2.0,0.0,0.0
ARSENAL,MAN CITY,0-2,0-1,4.9,5.4,7.4,42,58,4.0,3.0,9.0,2.0,2.0,16.0,80.0,14.0,23.0,11.0,2.0,0.0,0.0,5.0,8.0,17.0,4.0,9.0,20.0,84.0,8.0,9.0,14.0,2.0,0.0,0.0
CARDIFF,NEWCASTLE,0-0,0-0,2.9,5.7,5.9,51,49,6.0,1.0,12.0,5.0,5.0,27.0,64.0,34.0,41.0,14.0,2.0,0.0,0.0,1.0,6.0,12.0,5.0,5.0,25.0,60.0,33.0,25.0,16.0,2.0,0.0,1.0
TOTTENHAM,FULHAM,3-1,1-0,7.0,7.7,5.0,60,40,10.0,11.0,25.0,4.0,5.0,25.0,89.0,14.0,8.0,9.0,0.0,0.0,0.0,5.0,3.0,10.0,2.0,2.0,12.0,82.0,7.0,39.0,5.0,0.0,0.0,0.0
EVERTON,SOUTHAMPTON,2-1,2-0,5.9,7.2,5.0,58,42,3.0,7.0,13.0,3.0,2.0,22.0,74.0,22.0,18.0,8.0,0.0,0.0,0.0,6.0,4.0,15.0,5.0,5.0,28.0,62.0,31.0,23.0,20.0,5.0,0.0,0.0
WEST HAM,BOURNEMOUTH,1-2,1-0,5.7,5.5,6.5,61,39,3.0,5.0,11.0,3.0,6.0,20.0,81.0,26.0,18.0,14.0,6.0,0.0,0.0,3.0,5.0,12.0,4.0,4.0,19.0,77.0,19.0,31.0,10.0,2.0,0.0,0.0
LEICESTER CITY,WOLVES,2-0,2-0,4.8,6.8,5.9,43,57,2.0,2.0,6.0,2.0,1.0,17.0,83.0,18.0,33.0,10.0,2.0,0.0,1.0,7.0,3.0,11.0,1.0,9.0,27.0,81.0,19.0,15.0,8.0,1.0,0.0,0.0
CHELSEA,ARSENAL,3-2,2-2,9.4,7.4,5.3,62,38,7.0,11.0,24.0,6.0,5.0,21.0,89.0,15.0,11.0,12.0,0.0,0.0,0.0,6.0,6.0,15.0,3.0,1.0,17.0,82.0,12.0,22.0,9.0,2.0,0.0,0.0
MAN CITY,HUDDERSFIELD,6-1,3-1,7.9,9.4,3.5,77,23,9.0,14.0,32.0,9.0,10.0,15.0,93.0,17.0,24.0,9.0,0.0,0.0,0.0,2.0,1.0,5.0,2.0,3.0,11.0,65.0,19.0,29.0,4.0,2.0,0.0,0.0
BURNLEY,WATFORD,1-3,1-1,5.4,4.9,7.2,58,42,3.0,3.0,8.0,2.0,5.0,23.0,75.0,32.0,21.0,8.0,1.0,0.0,0.0,0.0,6.0,9.0,3.0,2.0,25.0,68.0,26.0,29.0,19.0,2.0,0.0,0.0
BRIGHTON,MAN UTD,3-2,3-1,7.2,6.5,5.5,33,67,3.0,3.0,6.0,0.0,3.0,23.0,65.0,12.0,16.0,16.0,1.0,0.0,0.0,4.0,3.0,9.0,2.0,5.0,27.0,85.0,23.0,18.0,13.0,1.0,0.0,0.0
CRYSTAL PALACE,LIVERPOOL,0-2,0-1,5.3,5.2,7.4,37,63,5.0,2.0,8.0,1.0,6.0,18.0,78.0,19.0,25.0,6.0,1.0,0.0,1.0,4.0,6.0,16.0,6.0,7.0,13.0,89.0,13.0,17.0,13.0,1.0,0.0,0.0
WOLVES,MAN CITY,1-1,0-0,5.6,6.3,6.6,29,71,6.0,2.0,11.0,3.0,5.0,10.0,68.0,15.0,35.0,13.0,1.0,0.0,0.0,6.0,6.0,18.0,6.0,9.0,20.0,90.0,13.0,11.0,8.0,2.0,0.0,0.0
BOURNEMOUTH,EVERTON,2-2,0-0,7.5,6.1,5.7,50,50,10.0,5.0,17.0,2.0,6.0,28.0,79.0,16.0,13.0,12.0,0.0,0.0,1.0,5.0,3.0,11.0,3.0,2.0,24.0,78.0,19.0,30.0,10.0,3.0,0.0,1.0
ARSENAL,WEST HAM,3-1,1-1,7.3,7.4,5.2,61,39,2.0,10.0,17.0,5.0,7.0,13.0,85.0,14.0,26.0,16.0,1.0,0.0,0.0,5.0,5.0,13.0,3.0,2.0,22.0,75.0,15.0,24.0,13.0,3.0,0.0,0.0
HUDDERSFIELD,CARDIFF,0-0,0-0,2.5,5.7,6.7,58,42,2.0,1.0,5.0,2.0,7.0,23.0,76.0,27.0,24.0,8.0,0.0,0.0,1.0,6.0,4.0,14.0,4.0,7.0,34.0,67.0,35.0,30.0,10.0,1.0,0.0,0.0
SOUTHAMPTON,LEICESTER CITY,1-2,0-0,6.4,5.6,6.7,52,48,4.0,5.0,11.0,2.0,10.0,19.0,83.0,21.0,13.0,13.0,2.0,1.0,0.0,3.0,5.0,8.0,0.0,3.0,14.0,83.0,20.0,37.0,11.0,1.0,0.0,0.0
LIVERPOOL,BRIGHTON,1-0,1-0,4.5,7.5,6.1,70,30,7.0,8.0,22.0,7.0,8.0,21.0,87.0,18.0,12.0,8.0,1.0,0.0,0.0,2.0,2.0,6.0,2.0,5.0,17.0,73.0,19.0,33.0,14.0,1.0,0.0,0.0
WATFORD,CRYSTAL PALACE,2-1,0-0,5.4,6.9,5.6,44,56,4.0,5.0,13.0,4.0,6.0,19.0,69.0,24.0,16.0,14.0,4.0,0.0,0.0,5.0,3.0,9.0,1.0,3.0,33.0,75.0,24.0,28.0,11.0,2.0,0.0,0.0
FULHAM,BURNLEY,4-2,3-2,9.1,7.8,4.9,64,36,10.0,12.0,25.0,3.0,6.0,18.0,85.0,14.0,25.0,11.0,2.0,0.0,0.0,5.0,2.0,12.0,5.0,4.0,21.0,74.0,17.0,20.0,8.0,1.0,0.0,0.0
NEWCASTLE,CHELSEA,1-2,0-0,6.0,5.5,7.2,19,81,2.0,2.0,6.0,2.0,4.0,17.0,66.0,12.0,36.0,16.0,3.0,0.0,0.0,7.0,3.0,15.0,5.0,5.0,20.0,92.0,13.0,20.0,8.0,1.0,0.0,0.0
MAN UTD,TOTTENHAM,0-3,0-0,5.6,5.0,7.7,57,43,12.0,5.0,23.0,6.0,5.0,29.0,77.0,24.0,14.0,11.0,2.0,0.0,0.0,2.0,5.0,9.0,2.0,2.0,25.0,68.0,13.0,26.0,16.0,3.0,0.0,0.0
LEICESTER CITY,LIVERPOOL,1-2,0-2,5.5,6.0,6.7,51,49,3.0,5.0,12.0,4.0,4.0,25.0,81.0,17.0,27.0,9.0,3.0,0.0,0.0,4.0,4.0,10.0,2.0,4.0,31.0,79.0,17.0,23.0,12.0,2.0,0.0,0.0
WEST HAM,WOLVES,0-1,0-0,4.2,5.7,7.2,48,52,5.0,3.0,13.0,5.0,4.0,24.0,80.0,15.0,19.0,10.0,2.0,0.0,0.0,7.0,6.0,15.0,2.0,4.0,19.0,84.0,24.0,19.0,11.0,1.0,0.0,0.0
CRYSTAL PALACE,SOUTHAMPTON,0-2,0-0,6.4,5.5,6.5,51,49,7.0,6.0,20.0,7.0,7.0,18.0,78.0,33.0,26.0,11.0,1.0,0.0,0.0,6.0,6.0,19.0,7.0,4.0,23.0,77.0,20.0,34.0,12.0,1.0,0.0,0.0
CHELSEA,BOURNEMOUTH,2-0,0-0,5.0,7.4,5.6,73,27,6.0,6.0,24.0,12.0,7.0,19.0,88.0,19.0,23.0,10.0,2.0,0.0,0.0,6.0,1.0,8.0,1.0,6.0,20.0,69.0,13.0,35.0,7.0,2.0,0.0,0.0
