Home Team,Away Team,Score,Half Time Score,Match Excitement,Home Team Rating,Away Team Rating,Home Team Possession %,Away Team Possession %,Home Team Off Target Shots,Home Team On Target Shots,Home Team Total Shots,Home Team Blocked Shots,Home Team Corners,Home Team Throw Ins,Home Team Pass Success %,Home Team Aerials Won,Home Team Clearances,Home Team Fouls,Home Team Yellow Cards,Home Team Second Yellow Cards,Home Team Red Cards,Away Team Off Target Shots,Away Team On Target Shots,Away Team Total Shots,Away Team Blocked Shots,Away Team Corners,Away Team Throw Ins,Away Team Pass Success %,Away Team Aerials Won,Away Team Clearances,Away Team Fouls,Away Team Yellow Cards,Away Team Second Yellow Cards,Away Team Red Cards
BRIGHTON,FULHAM,2-2,0-1,7.5,5.7,5.9,41,59,7.0,5.0,15.0,3.0,7.0,23.0,77.0,15.0,8.0,12.0,3.0,0.0,0.0,3.0,5.0,10.0,2.0,1.0,21.0,85.0,15.0,26.0,14.0,3.0,0.0,0.0
EVERTON,HUDDERSFIELD,1-1,1-1,4.1,5.9,7.0,58,42,8.0,1.0,11.0,2.0,4.0,25.0,83.0,27.0,32.0,13.0,3.0,0.0,0.0,1.0,6.0,9.0,2.0,3.0,30.0,75.0,31.0,18.0,14.0,3.0,0.0,0.0
MAN CITY,NEWCASTLE,2-1,1-1,5.3,7.2,5.5,78,22,9.0,8.0,24.0,7.0,4.0,31.0,90.0,12.0,9.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,8.0,63.0,15.0,39.0,13.0,0.0,0.0,0.0
CARDIFF,ARSENAL,2-3,1-1,8.9,5.0,7.4,28,72,10.0,3.0,14.0,1.0,3.0,7.0,66.0,24.0,32.0,12.0,3.0,0.0,0.0,4.0,11.0,17.0,2.0,9.0,23.0,84.0,22.0,21.0,14.0,4.0,0.0,0.0
WATFORD,TOTTENHAM,2-1,0-0,5.2,6.5,6.0,34,66,3.0,3.0,7.0,1.0,3.0,10.0,65.0,26.0,49.0,9.0,2.0,0.0,0.0,7.0,2.0,11.0,2.0,10.0,35.0,79.0,15.0,19.0,8.0,1.0,0.0,0.0
BURNLEY,MAN UTD,0-2,0-2,5.3,4.8,6.7,47,53,6.0,2.0,9.0,1.0,2.0,15.0,80.0,21.0,28.0,7.0,2.0,0.0,0.0,6.0,9.0,21.0,6.0,5.0,18.0,85.0,19.0,32.0,13.0,3.0,0.0,1.0
TOTTENHAM,LIVERPOOL,1-2,0-1,7.3,5.0,7.4,60,40,5.0,3.0,11.0,3.0,5.0,22.0,81.0,15.0,17.0,17.0,0.0,0.0,0.0,5.0,10.0,17.0,2.0,4.0,22.0,75.0,10.0,21.0,16.0,0.0,0.0,0.0
MAN CITY,FULHAM,3-0,2-0,6.2,8.2,5.0,65,35,8.0,9.0,28.0,11.0,10.0,17.0,91.0,10.0,15.0,7.0,0.0,0.0,0.0,5.0,3.0,9.0,1.0,4.0,15.0,81.0,8.0,22.0,7.0,0.0,0.0,0.0
NEWCASTLE,ARSENAL,1-2,0-0,5.0,6.0,6.8,36,64,0.0,2.0,4.0,2.0,10.0,17.0,66.0,24.0,17.0,13.0,0.0,0.0,0.0,5.0,2.0,12.0,5.0,4.0,17.0,84.0,24.0,28.0,11.0,0.0,0.0,0.0
CHELSEA,CARDIFF,4-1,2-1,5.8,7.7,4.5,77,23,8.0,7.0,18.0,3.0,5.0,15.0,87.0,18.0,17.0,8.0,0.0,0.0,0.0,4.0,2.0,6.0,0.0,4.0,17.0,59.0,23.0,17.0,10.0,0.0,0.0,0.0
HUDDERSFIELD,CRYSTAL PALACE,0-1,0-1,3.3,5.8,6.6,58,42,9.0,2.0,15.0,4.0,5.0,27.0,83.0,24.0,9.0,11.0,1.0,0.0,0.0,2.0,2.0,7.0,3.0,3.0,16.0,79.0,18.0,28.0,17.0,2.0,0.0,0.0
BOURNEMOUTH,LEICESTER CITY,4-2,3-0,9.2,6.3,5.3,47,53,2.0,5.0,10.0,3.0,4.0,30.0,71.0,15.0,25.0,13.0,3.0,0.0,0.0,4.0,8.0,14.0,2.0,6.0,23.0,76.0,22.0,26.0,15.0,3.0,1.0,0.0
WATFORD,MAN UTD,1-2,0-2,6.1,5.6,6.5,43,57,3.0,5.0,14.0,6.0,6.0,16.0,75.0,18.0,28.0,9.0,2.0,0.0,0.0,1.0,6.0,9.0,2.0,8.0,16.0,81.0,22.0,31.0,11.0,2.0,1.0,0.0
WOLVES,BURNLEY,1-0,0-0,4.1,6.8,5.3,59,41,13.0,7.0,30.0,10.0,8.0,27.0,83.0,23.0,18.0,10.0,2.0,0.0,0.0,5.0,2.0,7.0,0.0,2.0,11.0,75.0,37.0,22.0,9.0,4.0,0.0,0.0
EVERTON,WEST HAM,1-3,1-2,5.9,5.2,7.2,56,44,6.0,4.0,16.0,6.0,4.0,30.0,77.0,15.0,9.0,15.0,2.0,0.0,0.0,2.0,4.0,9.0,3.0,2.0,21.0,74.0,17.0,28.0,12.0,5.0,0.0,0.0
SOUTHAMPTON,BRIGHTON,2-2,1-0,7.5,6.1,6.0,51,49,6.0,5.0,14.0,3.0,1.0,20.0,79.0,17.0,13.0,10.0,2.0,0.0,0.0,5.0,4.0,12.0,3.0,4.0,24.0,76.0,25.0,21.0,13.0,3.0,0.0,0.0
FULHAM,WATFORD,1-1,0-1,4.8,5.9,6.6,61,39,6.0,3.0,15.0,6.0,8.0,18.0,76.0,28.0,35.0,11.0,2.0,0.0,0.0,4.0,6.0,11.0,1.0,8.0,16.0,65.0,17.0,25.0,9.0,1.0,0.0,0.0
CRYSTAL PALACE,NEWCASTLE,0-0,0-0,2.9,6.6,6.6,62,38,7.0,4.0,16.0,5.0,9.0,36.0,79.0,17.0,15.0,8.0,1.0,0.0,0.0,3.0,3.0,6.0,0.0,5.0,31.0,69.0,15.0,33.0,11.0,1.0,0.0,0.0
LIVERPOOL,SOUTHAMPTON,3-0,3-0,4.9,8.0,5.1,61,39,5.0,4.0,12.0,3.0,5.0,19.0,86.0,9.0,12.0,7.0,0.0,0.0,0.0,1.0,1.0,7.0,5.0,4.0,13.0,81.0,17.0,35.0,10.0,2.0,0.0,0.0
MAN UTD,WOLVES,1-1,1-0,5.5,6.0,7.1,64,36,3.0,6.0,15.0,6.0,5.0,27.0,85.0,17.0,13.0,5.0,1.0,0.0,0.0,3.0,8.0,11.0,0.0,4.0,20.0,74.0,24.0,28.0,17.0,1.0,0.0,0.0
LEICESTER CITY,HUDDERSFIELD,3-1,1-1,5.7,7.5,5.0,62,38,7.0,8.0,18.0,3.0,3.0,15.0,86.0,25.0,27.0,10.0,2.0,0.0,0.0,5.0,2.0,9.0,2.0,1.0,27.0,73.0,20.0,13.0,16.0,1.0,0.0,0.0
BURNLEY,BOURNEMOUTH,4-0,2-0,6.6,7.6,5.3,38,62,3.0,5.0,12.0,4.0,3.0,17.0,68.0,25.0,31.0,17.0,2.0,0.0,0.0,5.0,5.0,19.0,9.0,8.0,16.0,82.0,21.0,29.0,6.0,0.0,0.0,0.0
CARDIFF,MAN CITY,0-5,0-3,6.4,4.0,9.5,21,79,0.0,2.0,2.0,0.0,1.0,15.0,67.0,10.0,24.0,6.0,1.0,0.0,0.0,4.0,10.0,21.0,7.0,9.0,15.0,91.0,9.0,10.0,4.0,1.0,0.0,0.0
BRIGHTON,TOTTENHAM,1-2,0-1,6.2,5.4,7.1,29,71,3.0,4.0,8.0,1.0,5.0,24.0,74.0,13.0,14.0,15.0,2.0,0.0,0.0,5.0,7.0,16.0,4.0,7.0,20.0,89.0,9.0,15.0,9.0,1.0,0.0,0.0
WEST HAM,CHELSEA,0-0,0-0,2.9,6.2,6.9,28,72,4.0,1.0,6.0,1.0,1.0,18.0,74.0,10.0,44.0,11.0,2.0,0.0,0.0,6.0,6.0,17.0,5.0,8.0,23.0,88.0,12.0,8.0,9.0,1.0,0.0,0.0
ARSENAL,EVERTON,2-0,0-0,5.0,6.4,6.4,62,38,1.0,5.0,9.0,3.0,5.0,29.0,83.0,21.0,27.0,17.0,2.0,0.0,0.0,2.0,6.0,10.0,2.0,9.0,26.0,76.0,15.0,28.0,12.0,1.0,0.0,0.0
WEST HAM,MAN UTD,3-1,2-0,6.1,7.1,5.4,49,51,4.0,3.0,8.0,1.0,4.0,9.0,82.0,11.0,26.0,12.0,0.0,0.0,0.0,1.0,4.0,9.0,4.0,9.0,26.0,86.0,19.0,16.0,12.0,1.0,0.0,0.0
WOLVES,SOUTHAMPTON,2-0,0-0,5.5,6.9,6.1,49,51,6.0,6.0,14.0,2.0,8.0,23.0,83.0,18.0,24.0,11.0,3.0,0.0,0.0,4.0,6.0,17.0,7.0,6.0,10.0,82.0,13.0,16.0,7.0,1.0,0.0,0.0
MAN CITY,BRIGHTON,2-0,1-0,4.7,8.1,4.7,80,20,13.0,8.0,28.0,7.0,10.0,18.0,93.0,14.0,7.0,4.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,3.0,15.0,65.0,8.0,34.0,10.0,3.0,0.0,0.0
NEWCASTLE,LEICESTER CITY,0-2,0-1,3.7,5.1,7.7,41,59,4.0,1.0,6.0,1.0,5.0,25.0,72.0,21.0,30.0,11.0,0.0,0.0,0.0,4.0,5.0,12.0,3.0,9.0,44.0,79.0,31.0,12.0,5.0,0.0,0.0,0.0
ARSENAL,WATFORD,2-0,0-0,4.6,6.7,5.6,63,37,6.0,2.0,9.0,1.0,6.0,18.0,82.0,26.0,35.0,11.0,2.0,0.0,0.0,7.0,5.0,14.0,2.0,6.0,16.0,69.0,22.0,22.0,17.0,2.0,0.0,0.0
EVERTON,FULHAM,3-0,0-0,5.9,7.7,5.2,51,49,6.0,6.0,19.0,7.0,12.0,26.0,81.0,16.0,14.0,13.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,1.0,28.0,80.0,20.0,33.0,13.0,3.0,0.0,0.0
HUDDERSFIELD,TOTTENHAM,0-2,0-2,4.4,5.3,6.9,53,47,3.0,5.0,9.0,1.0,3.0,30.0,73.0,22.0,10.0,17.0,2.0,0.0,0.0,4.0,6.0,10.0,1.0,0.0,21.0,73.0,31.0,40.0,16.0,2.0,0.0,0.0
CHELSEA,LIVERPOOL,1-1,1-0,4.9,6.5,6.8,47,53,4.0,4.0,10.0,2.0,4.0,15.0,83.0,11.0,23.0,7.0,0.0,0.0,0.0,6.0,6.0,13.0,1.0,4.0,24.0,84.0,13.0,16.0,9.0,2.0,0.0,0.0
CARDIFF,BURNLEY,1-2,0-0,5.4,5.6,5.7,54,46,9.0,5.0,20.0,6.0,10.0,33.0,62.0,67.0,24.0,11.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,2.0,27.0,55.0,39.0,66.0,15.0,3.0,0.0,0.0
BOURNEMOUTH,CRYSTAL PALACE,2-1,1-0,5.7,6.5,5.4,44,56,4.0,5.0,11.0,2.0,3.0,21.0,79.0,14.0,25.0,9.0,3.0,0.0,0.0,4.0,2.0,10.0,4.0,3.0,14.0,84.0,9.0,15.0,12.0,4.0,0.0,0.0
BRIGHTON,WEST HAM,1-0,1-0,3.6,6.4,5.9,35,65,4.0,4.0,9.0,1.0,2.0,24.0,68.0,21.0,28.0,12.0,3.0,0.0,0.0,7.0,4.0,17.0,6.0,9.0,26.0,84.0,16.0,17.0,8.0,2.0,0.0,0.0
CRYSTAL PALACE,WOLVES,0-1,0-0,3.5,5.9,6.6,67,33,4.0,4.0,11.0,3.0,6.0,30.0,83.0,17.0,17.0,11.0,3.0,0.0,0.0,5.0,2.0,7.0,0.0,3.0,23.0,68.0,19.0,24.0,13.0,4.0,0.0,0.0
WATFORD,BOURNEMOUTH,0-4,0-3,5.7,4.1,8.7,47,53,2.0,2.0,14.0,10.0,10.0,23.0,78.0,15.0,12.0,11.0,4.0,1.0,0.0,3.0,7.0,10.0,0.0,7.0,14.0,83.0,18.0,37.0,9.0,1.0,0.0,0.0
TOTTENHAM,CARDIFF,1-0,1-0,4.3,6.6,5.7,75,25,6.0,7.0,19.0,6.0,6.0,36.0,86.0,9.0,24.0,7.0,3.0,0.0,0.0,2.0,6.0,8.0,1.0,2.0,20.0,62.0,16.0,37.0,11.0,1.0,0.0,1.0
LEICESTER CITY,EVERTON,1-2,1-1,5.9,4.8,7.1,51,49,5.0,2.0,8.0,1.0,2.0,32.0,75.0,21.0,33.0,10.0,3.0,1.0,0.0,5.0,8.0,17.0,4.0,10.0,19.0,74.0,26.0,16.0,11.0,1.0,0.0,0.0
BURNLEY,HUDDERSFIELD,1-1,1-0,4.0,6.2,6.2,32,68,0.0,3.0,6.0,3.0,1.0,24.0,61.0,25.0,42.0,9.0,2.0,0.0,0.0,7.0,2.0,18.0,9.0,10.0,31.0,80.0,26.0,7.0,11.0,2.0,0.0,0.0
MAN UTD,NEWCASTLE,3-2,0-2,9.2,6.6,5.7,73,27,5.0,10.0,18.0,3.0,10.0,32.0,83.0,19.0,19.0,16.0,2.0,0.0,0.0,5.0,8.0,13.0,0.0,6.0,24.0,58.0,16.0,52.0,8.0,2.0,0.0,0.0
FULHAM,ARSENAL,1-5,1-1,6.4,4.4,8.5,49,51,8.0,4.0,21.0,9.0,4.0,12.0,81.0,20.0,21.0,11.0,2.0,0.0,0.0,2.0,7.0,9.0,0.0,2.0,24.0,79.0,14.0,19.0,12.0,0.0,0.0,0.0
SOUTHAMPTON,CHELSEA,0-3,0-1,7.0,5.1,8.0,35,65,6.0,6.0,15.0,3.0,4.0,22.0,79.0,12.0,36.0,13.0,6.0,0.0,0.0,3.0,6.0,21.0,12.0,12.0,25.0,88.0,17.0,18.0,11.0,0.0,0.0,0.0
LIVERPOOL,MAN CITY,0-0,0-0,2.1,6.2,6.3,49,51,4.0,2.0,7.0,1.0,2.0,18.0,84.0,6.0,18.0,10.0,1.0,0.0,0.0,3.0,2.0,6.0,1.0,6.0,18.0,83.0,17.0,25.0,10.0,3.0,0.0,0.0
CHELSEA,MAN UTD,2-2,1-0,7.8,6.6,6.2,62,38,8.0,6.0,21.0,7.0,5.0,23.0,89.0,13.0,23.0,9.0,2.0,0.0,0.0,3.0,4.0,7.0,1.0,3.0,18.0,76.0,15.0,29.0,17.0,5.0,0.0,0.0
WOLVES,WATFORD,0-2,0-2,3.8,5.4,7.4,45,55,6.0,1.0,10.0,3.0,8.0,17.0,77.0,21.0,13.0,23.0,3.0,0.0,0.0,2.0,3.0,9.0,4.0,2.0,20.0,84.0,22.0,29.0,13.0,1.0,0.0,0.0
MAN CITY,BURNLEY,5-0,1-0,6.5,8.9,4.1,69,31,6.0,10.0,24.0,8.0,10.0,15.0,88.0,14.0,10.0,11.0,2.0,0.0,0.0,4.0,0.0,5.0,1.0,1.0,15.0,75.0,16.0,19.0,5.0,2.0,0.0,0.0
NEWCASTLE,BRIGHTON,0-1,0-1,4.0,6.3,6.1,68,32,12.0,6.0,27.0,9.0,10.0,27.0,82.0,30.0,15.0,13.0,0.0,0.0,0.0,4.0,2.0,8.0,2.0,2.0,25.0,61.0,27.0,49.0,17.0,2.0,0.0,0.0
CARDIFF,FULHAM,4-2,2-2,8.0,6.5,5.2,40,60,10.0,5.0,22.0,7.0,4.0,21.0,64.0,26.0,21.0,15.0,3.0,0.0,0.0,3.0,4.0,9.0,2.0,4.0,17.0,77.0,24.0,32.0,16.0,3.0,0.0,0.0
WEST HAM,TOTTENHAM,0-1,0-1,3.6,6.5,6.5,44,56,7.0,4.0,13.0,2.0,10.0,17.0,81.0,22.0,14.0,8.0,3.0,0.0,0.0,4.0,2.0,10.0,4.0,6.0,17.0,86.0,3.0,25.0,10.0,0.0,0.0,0.0
BOURNEMOUTH,SOUTHAMPTON,0-0,0-0,2.2,5.9,6.5,57,43,5.0,2.0,9.0,2.0,6.0,32.0,76.0,24.0,30.0,11.0,1.0,0.0,0.0,2.0,4.0,8.0,2.0,4.0,15.0,72.0,26.0,29.0,14.0,2.0,0.0,0.0
HUDDERSFIELD,LIVERPOOL,0-1,0-1,3.2,5.9,6.9,48,52,6.0,1.0,13.0,6.0,2.0,27.0,80.0,23.0,21.0,9.0,0.0,0.0,0.0,4.0,2.0,11.0,5.0,4.0,34.0,81.0,22.0,32.0,6.0,2.0,0.0,0.0
EVERTON,CRYSTAL PALACE,2-0,0-0,5.7,6.9,5.4,60,40,9.0,4.0,20.0,7.0,10.0,18.0,83.0,23.0,18.0,13.0,2.0,0.0,0.0,4.0,3.0,7.0,0.0,5.0,20.0,73.0,17.0,22.0,17.0,1.0,0.0,0.0
ARSENAL,LEICESTER CITY,3-1,1-1,6.1,6.9,5.4,69,31,11.0,6.0,19.0,2.0,6.0,20.0,86.0,16.0,12.0,10.0,2.0,0.0,0.0,3.0,2.0,8.0,3.0,4.0,19.0,74.0,17.0,18.0,10.0,2.0,0.0,0.0
SOUTHAMPTON,NEWCASTLE,0-0,0-0,2.6,6.5,6.2,50,50,13.0,4.0,22.0,5.0,7.0,23.0,75.0,29.0,23.0,9.0,0.0,0.0,0.0,4.0,0.0,6.0,2.0,2.0,29.0,72.0,21.0,48.0,12.0,1.0,0.0,0.0
BRIGHTON,WOLVES,1-0,0-0,4.0,5.8,6.6,40,60,5.0,1.0,7.0,1.0,1.0,25.0,72.0,20.0,33.0,11.0,3.0,0.0,0.0,8.0,7.0,25.0,10.0,10.0,27.0,84.0,24.0,10.0,8.0,0.0,0.0,0.0
