Home Team,Away Team,Score,Home Team Fouls,Home Team Yellow Cards,Home Team Second Yellow Cards,Home Team Red Cards,Away Team Fouls,Away Team Yellow Cards,Away Team Second Yellow Cards,Away Team Red Cards,year
QPR,SUNDERLAND,1-0,8.0,1.0,0.0,0.0,9.0,2.0,0.0,0.0,2014
WEST HAM,SOUTHAMPTON,1-3,11.0,2.0,0.0,0.0,13.0,1.0,0.0,0.0,2014
EVERTON,CHELSEA,3-6,7.0,1.0,0.0,0.0,16.0,3.0,0.0,0.0,2014
ASTON VILLA,HULL CITY,2-1,9.0,1.0,0.0,0.0,10.0,4.0,0.0,0.0,2014
TOTTENHAM,LIVERPOOL,0-3,14.0,0.0,0.0,0.0,11.0,4.0,0.0,0.0,2014
LEICESTER CITY,ARSENAL,1-1,14.0,3.0,0.0,0.0,5.0,1.0,0.0,0.0,2014
ARSENAL,MAN CITY,2-2,11.0,3.0,0.0,0.0,15.0,4.0,0.0,0.0,2014
STOKE,LEICESTER CITY,0-1,9.0,3.0,0.0,0.0,15.0,0.0,0.0,0.0,2014
CHELSEA,SWANSEA,4-2,12.0,0.0,0.0,0.0,11.0,3.0,0.0,0.0,2014
WEST BROM,EVERTON,0-2,12.0,2.0,0.0,0.0,10.0,3.0,0.0,0.0,2014
SOUTHAMPTON,NEWCASTLE,4-0,16.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,2014
CRYSTAL PALACE,BURNLEY,0-0,12.0,2.0,0.0,0.0,11.0,3.0,0.0,0.0,2014
SUNDERLAND,TOTTENHAM,2-2,16.0,5.0,0.0,0.0,14.0,1.0,0.0,0.0,2014
LIVERPOOL,ASTON VILLA,0-1,9.0,2.0,0.0,0.0,10.0,1.0,0.0,0.0,2014
MAN UTD,QPR,4-0,11.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,2014
HULL CITY,WEST HAM,2-2,12.0,3.0,0.0,0.0,7.0,1.0,0.0,0.0,2014
QPR,STOKE,2-2,6.0,2.0,0.0,0.0,15.0,4.0,0.0,0.0,2014
ASTON VILLA,ARSENAL,0-3,11.0,1.0,0.0,0.0,9.0,3.0,0.0,0.0,2014
SWANSEA,SOUTHAMPTON,0-1,11.0,1.0,0.0,1.0,15.0,4.0,0.0,0.0,2014
NEWCASTLE,HULL CITY,2-2,11.0,4.0,0.0,0.0,11.0,2.0,0.0,0.0,2014
BURNLEY,SUNDERLAND,0-0,14.0,1.0,0.0,0.0,14.0,2.0,0.0,0.0,2014
WEST HAM,LIVERPOOL,3-1,16.0,4.0,0.0,0.0,11.0,1.0,0.0,0.0,2014
LEICESTER CITY,MAN UTD,5-3,11.0,1.0,0.0,0.0,9.0,1.0,0.0,1.0,2014
TOTTENHAM,WEST BROM,0-1,12.0,2.0,0.0,0.0,7.0,2.0,0.0,0.0,2014
MAN CITY,CHELSEA,1-1,16.0,4.0,1.0,0.0,12.0,4.0,0.0,0.0,2014
EVERTON,CRYSTAL PALACE,2-3,8.0,2.0,0.0,0.0,13.0,2.0,0.0,0.0,2014
LIVERPOOL,EVERTON,1-1,8.0,2.0,0.0,0.0,9.0,1.0,0.0,0.0,2014
SUNDERLAND,SWANSEA,0-0,13.0,2.0,0.0,0.0,15.0,2.0,1.0,0.0,2014
CHELSEA,ASTON VILLA,3-0,11.0,2.0,0.0,0.0,9.0,2.0,0.0,0.0,2014
MAN UTD,WEST HAM,2-1,10.0,1.0,0.0,1.0,12.0,3.0,0.0,0.0,2014
SOUTHAMPTON,QPR,2-1,12.0,2.0,0.0,0.0,11.0,1.0,0.0,0.0,2014
CRYSTAL PALACE,LEICESTER CITY,2-0,14.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,2014
HULL CITY,MAN CITY,2-4,10.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,2014
ARSENAL,TOTTENHAM,1-1,7.0,3.0,0.0,0.0,16.0,6.0,0.0,0.0,2014
WEST BROM,BURNLEY,4-0,7.0,1.0,0.0,0.0,9.0,2.0,0.0,0.0,2014
STOKE,NEWCASTLE,1-0,20.0,1.0,0.0,0.0,15.0,2.0,0.0,0.0,2014
LEICESTER CITY,BURNLEY,2-2,16.0,2.0,0.0,0.0,12.0,2.0,0.0,0.0,2014
LIVERPOOL,WEST BROM,2-1,12.0,2.0,0.0,0.0,15.0,2.0,0.0,0.0,2014
SUNDERLAND,STOKE,3-1,10.0,3.0,0.0,0.0,17.0,4.0,0.0,0.0,2014
HULL CITY,CRYSTAL PALACE,2-0,6.0,1.0,0.0,0.0,14.0,2.0,0.0,0.0,2014
SWANSEA,NEWCASTLE,2-2,11.0,1.0,0.0,0.0,15.0,3.0,0.0,0.0,2014
ASTON VILLA,MAN CITY,0-2,4.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,2014
MAN UTD,EVERTON,2-1,18.0,4.0,0.0,0.0,11.0,3.0,0.0,0.0,2014
CHELSEA,ARSENAL,2-0,14.0,4.0,0.0,0.0,10.0,3.0,0.0,0.0,2014
TOTTENHAM,SOUTHAMPTON,1-0,15.0,2.0,0.0,0.0,9.0,1.0,0.0,0.0,2014
WEST HAM,QPR,2-0,10.0,2.0,0.0,0.0,11.0,2.0,0.0,0.0,2014
MAN CITY,TOTTENHAM,4-1,11.0,1.0,0.0,0.0,9.0,2.0,0.0,1.0,2014
ARSENAL,HULL CITY,2-2,9.0,2.0,0.0,0.0,13.0,2.0,0.0,0.0,2014
EVERTON,ASTON VILLA,3-0,11.0,2.0,0.0,0.0,16.0,2.0,0.0,0.0,2014
BURNLEY,WEST HAM,1-3,3.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,2014
SOUTHAMPTON,SUNDERLAND,8-0,11.0,1.0,0.0,0.0,8.0,3.0,0.0,0.0,2014
CRYSTAL PALACE,CHELSEA,1-2,13.0,2.0,1.0,0.0,7.0,1.0,0.0,1.0,2014
NEWCASTLE,LEICESTER CITY,1-0,13.0,0.0,0.0,0.0,15.0,3.0,0.0,0.0,2014
QPR,LIVERPOOL,2-3,10.0,2.0,0.0,0.0,15.0,3.0,0.0,0.0,2014
STOKE,SWANSEA,2-1,17.0,4.0,0.0,0.0,7.0,1.0,0.0,0.0,2014
WEST BROM,MAN UTD,2-2,6.0,1.0,0.0,0.0,8.0,2.0,0.0,0.0,2014
WEST HAM,MAN CITY,2-1,12.0,2.0,0.0,0.0,14.0,1.0,0.0,0.0,2014
LIVERPOOL,HULL CITY,0-0,12.0,3.0,0.0,0.0,17.0,2.0,0.0,0.0,2014
SUNDERLAND,ARSENAL,0-2,11.0,2.0,0.0,0.0,9.0,3.0,0.0,0.0,2014
WEST BROM,CRYSTAL PALACE,2-2,14.0,3.0,0.0,0.0,8.0,1.0,0.0,0.0,2014
SOUTHAMPTON,STOKE,1-0,10.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,2014
SWANSEA,LEICESTER CITY,2-0,7.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2014
TOTTENHAM,NEWCASTLE,1-2,9.0,2.0,0.0,0.0,12.0,3.0,0.0,0.0,2014
BURNLEY,EVERTON,1-3,12.0,4.0,0.0,0.0,7.0,2.0,0.0,0.0,2014
MAN UTD,CHELSEA,1-1,13.0,3.0,0.0,0.0,14.0,6.0,1.0,0.0,2014
QPR,ASTON VILLA,2-0,11.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,2014
NEWCASTLE,LIVERPOOL,1-0,13.0,4.0,0.0,0.0,8.0,3.0,0.0,0.0,2014
ARSENAL,BURNLEY,3-0,5.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,2014
STOKE,WEST HAM,2-2,14.0,1.0,0.0,0.0,13.0,1.0,0.0,0.0,2014
CHELSEA,QPR,2-1,8.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2014
EVERTON,SWANSEA,0-0,10.0,2.0,0.0,0.0,15.0,4.0,1.0,0.0,2014
LEICESTER CITY,WEST BROM,0-1,5.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,2014
HULL CITY,SOUTHAMPTON,0-1,6.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,2014
MAN CITY,MAN UTD,1-0,15.0,3.0,0.0,0.0,9.0,2.0,1.0,0.0,2014
ASTON VILLA,TOTTENHAM,1-2,13.0,3.0,0.0,1.0,11.0,3.0,0.0,0.0,2014
CRYSTAL PALACE,SUNDERLAND,1-3,12.0,1.0,0.0,1.0,19.0,3.0,0.0,0.0,2014
LIVERPOOL,CHELSEA,1-2,9.0,2.0,0.0,0.0,12.0,5.0,0.0,0.0,2014
MAN UTD,CRYSTAL PALACE,1-0,8.0,1.0,0.0,0.0,12.0,3.0,0.0,0.0,2014
BURNLEY,HULL CITY,1-0,17.0,6.0,0.0,0.0,17.0,4.0,0.0,0.0,2014
WEST HAM,ASTON VILLA,0-0,9.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,2014
SOUTHAMPTON,LEICESTER CITY,2-0,10.0,2.0,0.0,0.0,12.0,1.0,0.0,0.0,2014
QPR,MAN CITY,2-2,9.0,4.0,0.0,0.0,10.0,2.0,0.0,0.0,2014
SUNDERLAND,EVERTON,1-1,12.0,1.0,0.0,0.0,13.0,2.0,0.0,0.0,2014
TOTTENHAM,STOKE,1-2,20.0,3.0,0.0,1.0,13.0,2.0,0.0,0.0,2014
WEST BROM,NEWCASTLE,0-2,12.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2014
SWANSEA,ARSENAL,2-1,10.0,5.0,0.0,0.0,16.0,5.0,0.0,0.0,2014
MAN CITY,SWANSEA,2-1,13.0,2.0,0.0,0.0,9.0,2.0,0.0,0.0,2014
NEWCASTLE,QPR,1-0,12.0,2.0,0.0,0.0,15.0,3.0,0.0,0.0,2014
STOKE,BURNLEY,1-2,10.0,2.0,0.0,0.0,9.0,2.0,0.0,0.0,2014
CHELSEA,WEST BROM,2-0,7.0,1.0,0.0,0.0,9.0,0.0,0.0,1.0,2014
EVERTON,WEST HAM,2-1,10.0,2.0,0.0,0.0,13.0,3.0,0.0,0.0,2014
LEICESTER CITY,SUNDERLAND,0-0,18.0,2.0,0.0,0.0,11.0,3.0,0.0,0.0,2014
ARSENAL,MAN UTD,1-2,12.0,2.0,0.0,0.0,8.0,1.0,0.0,0.0,2014
CRYSTAL PALACE,LIVERPOOL,3-1,21.0,1.0,0.0,0.0,10.0,2.0,0.0,0.0,2014
HULL CITY,TOTTENHAM,1-2,15.0,3.0,0.0,1.0,9.0,1.0,0.0,0.0,2014
ASTON VILLA,SOUTHAMPTON,1-1,15.0,1.0,0.0,0.0,17.0,2.0,0.0,0.0,2014
WEST BROM,ARSENAL,0-1,9.0,2.0,0.0,0.0,10.0,1.0,0.0,0.0,2014
LIVERPOOL,STOKE,1-0,11.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,2014
SWANSEA,CRYSTAL PALACE,1-1,6.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,2014
QPR,LEICESTER CITY,3-2,8.0,3.0,0.0,0.0,17.0,2.0,0.0,0.0,2014
MAN UTD,HULL CITY,3-0,12.0,2.0,0.0,0.0,12.0,2.0,0.0,0.0,2014
BURNLEY,ASTON VILLA,1-1,8.0,3.0,0.0,0.0,8.0,4.0,0.0,0.0,2014
WEST HAM,NEWCASTLE,1-0,9.0,3.0,0.0,0.0,16.0,3.0,1.0,0.0,2014
SUNDERLAND,CHELSEA,0-0,13.0,3.0,0.0,0.0,10.0,2.0,0.0,0.0,2014
SOUTHAMPTON,MAN CITY,0-3,10.0,1.0,0.0,0.0,13.0,3.0,1.0,0.0,2014
TOTTENHAM,EVERTON,2-1,15.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0,2014
SWANSEA,QPR,2-0,8.0,2.0,0.0,0.0,12.0,2.0,0.0,0.0,2014
MAN UTD,STOKE,2-1,8.0,2.0,0.0,0.0,13.0,4.0,0.0,0.0,2014
LEICESTER CITY,LIVERPOOL,1-3,11.0,1.0,0.0,1.0,10.0,2.0,0.0,0.0,2014
BURNLEY,NEWCASTLE,1-1,12.0,2.0,0.0,0.0,12.0,2.0,0.0,0.0,2014
WEST BROM,WEST HAM,1-2,11.0,2.0,0.0,0.0,17.0,1.0,0.0,0.0,2014
CRYSTAL PALACE,ASTON VILLA,0-1,16.0,2.0,0.0,0.0,15.0,2.0,0.0,0.0,2014
CHELSEA,TOTTENHAM,3-0,9.0,1.0,0.0,0.0,9.0,1.0,0.0,0.0,2014
EVERTON,HULL CITY,1-1,8.0,1.0,0.0,0.0,12.0,1.0,0.0,0.0,2014
SUNDERLAND,MAN CITY,1-4,9.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,2014
ARSENAL,SOUTHAMPTON,1-0,7.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,2014
NEWCASTLE,CHELSEA,2-1,8.0,3.0,1.0,0.0,6.0,3.0,0.0,0.0,2014
LIVERPOOL,SUNDERLAND,0-0,12.0,1.0,0.0,0.0,15.0,3.0,0.0,0.0,2014
QPR,BURNLEY,2-0,12.0,2.0,1.0,0.0,12.0,1.0,0.0,0.0,2014
STOKE,ARSENAL,3-2,17.0,3.0,0.0,0.0,14.0,3.0,0.0,1.0,2014
TOTTENHAM,CRYSTAL PALACE,0-0,11.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,2014
HULL CITY,WEST BROM,0-0,10.0,1.0,0.0,0.0,16.0,1.0,0.0,0.0,2014
MAN CITY,EVERTON,1-0,8.0,3.0,0.0,0.0,11.0,3.0,0.0,0.0,2014
WEST HAM,SWANSEA,3-1,11.0,0.0,0.0,0.0,18.0,1.0,0.0,1.0,2014
ASTON VILLA,LEICESTER CITY,2-1,9.0,4.0,0.0,0.0,14.0,4.0,0.0,1.0,2014
SOUTHAMPTON,MAN UTD,1-2,12.0,2.0,0.0,0.0,9.0,1.0,0.0,0.0,2014
CHELSEA,HULL CITY,2-0,13.0,3.0,0.0,0.0,13.0,4.0,0.0,1.0,2014
WEST BROM,ASTON VILLA,1-0,17.0,4.0,0.0,0.0,12.0,2.0,0.0,1.0,2014
LEICESTER CITY,MAN CITY,0-1,15.0,0.0,0.0,0.0,13.0,2.0,0.0,0.0,2014
BURNLEY,SOUTHAMPTON,1-0,15.0,1.0,0.0,0.0,11.0,3.0,0.0,0.0,2014
CRYSTAL PALACE,STOKE,1-1,12.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,2014
SUNDERLAND,WEST HAM,1-1,11.0,2.0,0.0,0.0,18.0,2.0,0.0,0.0,2014
ARSENAL,NEWCASTLE,4-1,14.0,2.0,0.0,0.0,15.0,2.0,0.0,0.0,2014
MAN UTD,LIVERPOOL,3-0,13.0,4.0,0.0,0.0,14.0,3.0,0.0,0.0,2014
SWANSEA,TOTTENHAM,1-2,7.0,3.0,0.0,0.0,17.0,4.0,0.0,0.0,2014
EVERTON,QPR,3-1,11.0,1.0,0.0,0.0,12.0,1.0,0.0,0.0,2014
MAN CITY,CRYSTAL PALACE,3-0,17.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0,2014
ASTON VILLA,MAN UTD,1-1,9.0,1.0,0.0,1.0,10.0,1.0,0.0,0.0,2014
QPR,WEST BROM,3-2,16.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,2014
TOTTENHAM,BURNLEY,2-1,9.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,2014
WEST HAM,LEICESTER CITY,2-0,8.0,0.0,0.0,0.0,17.0,3.0,0.0,0.0,2014
SOUTHAMPTON,EVERTON,3-0,11.0,1.0,0.0,0.0,10.0,1.0,0.0,0.0,2014
HULL CITY,SWANSEA,0-1,14.0,2.0,0.0,0.0,16.0,2.0,0.0,0.0,2014
NEWCASTLE,SUNDERLAND,0-1,15.0,4.0,0.0,0.0,15.0,4.0,0.0,0.0,2014
LIVERPOOL,ARSENAL,2-2,6.0,1.0,1.0,0.0,14.0,3.0,0.0,0.0,2014
STOKE,CHELSEA,0-2,11.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,2014
CHELSEA,WEST HAM,2-0,8.0,0.0,0.0,0.0,14.0,3.0,0.0,0.0,2014
SWANSEA,ASTON VILLA,1-0,17.0,1.0,0.0,0.0,12.0,4.0,0.0,0.0,2014
EVERTON,STOKE,0-1,9.0,2.0,0.0,0.0,15.0,3.0,0.0,0.0,2014
WEST BROM,MAN CITY,1-3,5.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,2014
LEICESTER CITY,TOTTENHAM,1-2,10.0,1.0,0.0,0.0,14.0,2.0,0.0,0.0,2014
MAN UTD,NEWCASTLE,3-1,16.0,1.0,0.0,0.0,9.0,2.0,0.0,0.0,2014
BURNLEY,LIVERPOOL,0-1,7.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,2014
CRYSTAL PALACE,SOUTHAMPTON,1-3,15.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,2014
SUNDERLAND,HULL CITY,1-3,12.0,5.0,0.0,0.0,6.0,2.0,0.0,0.0,2014
ARSENAL,QPR,2-1,6.0,1.0,0.0,1.0,15.0,4.0,0.0,0.0,2014
TOTTENHAM,MAN UTD,0-0,11.0,2.0,0.0,0.0,19.0,4.0,0.0,0.0,2014
SOUTHAMPTON,CHELSEA,1-1,23.0,3.0,1.0,0.0,14.0,2.0,0.0,0.0,2014
ASTON VILLA,SUNDERLAND,0-0,4.0,1.0,0.0,1.0,11.0,4.0,0.0,0.0,2014
MAN CITY,BURNLEY,2-2,18.0,4.0,0.0,0.0,9.0,1.0,0.0,0.0,2014
QPR,CRYSTAL PALACE,0-0,11.0,2.0,0.0,0.0,17.0,1.0,0.0,0.0,2014
STOKE,WEST BROM,2-0,11.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,2014
WEST HAM,ARSENAL,1-2,12.0,3.0,0.0,0.0,13.0,3.0,0.0,0.0,2014
HULL CITY,LEICESTER CITY,0-1,12.0,0.0,0.0,1.0,12.0,1.0,1.0,0.0,2014
NEWCASTLE,EVERTON,3-2,13.0,2.0,0.0,0.0,8.0,2.0,0.0,0.0,2014
LIVERPOOL,SWANSEA,4-1,8.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,2014
STOKE,MAN UTD,1-1,8.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2014
ASTON VILLA,CRYSTAL PALACE,0-0,11.0,1.0,0.0,0.0,12.0,1.0,0.0,0.0,2014
LIVERPOOL,LEICESTER CITY,2-2,13.0,2.0,0.0,0.0,10.0,2.0,0.0,0.0,2014
MAN CITY,SUNDERLAND,3-2,14.0,2.0,0.0,0.0,7.0,3.0,0.0,0.0,2014
NEWCASTLE,BURNLEY,3-3,12.0,2.0,0.0,0.0,13.0,4.0,0.0,0.0,2014
QPR,SWANSEA,1-1,22.0,4.0,0.0,0.0,5.0,0.0,0.0,1.0,2014
WEST HAM,WEST BROM,1-1,6.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,2014
SOUTHAMPTON,ARSENAL,2-0,14.0,2.0,0.0,0.0,7.0,1.0,0.0,0.0,2014
HULL CITY,EVERTON,2-0,16.0,3.0,0.0,0.0,15.0,4.0,1.0,0.0,2014
TOTTENHAM,CHELSEA,5-3,14.0,3.0,0.0,0.0,10.0,1.0,0.0,0.0,2014
SUNDERLAND,LIVERPOOL,0-1,12.0,2.0,1.0,0.0,11.0,4.0,0.0,0.0,2014
SWANSEA,WEST HAM,1-1,9.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,2014
CHELSEA,NEWCASTLE,2-0,13.0,2.0,0.0,0.0,13.0,3.0,0.0,0.0,2014
EVERTON,MAN CITY,1-1,9.0,1.0,0.0,0.0,10.0,2.0,0.0,0.0,2014
WEST BROM,HULL CITY,1-0,5.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,2014
LEICESTER CITY,ASTON VILLA,1-0,18.0,1.0,0.0,1.0,6.0,2.0,1.0,0.0,2014
BURNLEY,QPR,2-1,14.0,2.0,0.0,0.0,9.0,2.0,0.0,0.0,2014
CRYSTAL PALACE,TOTTENHAM,2-1,9.0,5.0,0.0,0.0,14.0,3.0,0.0,0.0,2014
ARSENAL,STOKE,3-0,11.0,0.0,0.0,0.0,11.0,3.0,0.0,0.0,2014
MAN UTD,SOUTHAMPTON,0-1,9.0,2.0,0.0,0.0,10.0,3.0,0.0,0.0,2014
ASTON VILLA,LIVERPOOL,0-2,13.0,1.0,0.0,0.0,11.0,1.0,0.0,0.0,2014
SWANSEA,CHELSEA,0-5,9.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,2014
QPR,MAN UTD,0-2,12.0,3.0,0.0,0.0,10.0,2.0,0.0,0.0,2014
TOTTENHAM,SUNDERLAND,2-1,14.0,1.0,0.0,0.0,8.0,2.0,0.0,0.0,2014
LEICESTER CITY,STOKE,0-1,9.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,2014
BURNLEY,CRYSTAL PALACE,2-3,10.0,1.0,0.0,0.0,20.0,3.0,0.0,0.0,2014
NEWCASTLE,SOUTHAMPTON,1-2,9.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,2014
WEST HAM,HULL CITY,3-0,5.0,1.0,0.0,0.0,14.0,3.0,0.0,0.0,2014
MAN CITY,ARSENAL,0-2,12.0,3.0,0.0,0.0,5.0,3.0,0.0,0.0,2014
EVERTON,WEST BROM,0-0,11.0,3.0,0.0,0.0,12.0,2.0,0.0,0.0,2014
HULL CITY,NEWCASTLE,0-3,15.0,4.0,0.0,0.0,13.0,1.0,0.0,0.0,2014
LIVERPOOL,WEST HAM,2-0,12.0,1.0,0.0,0.0,12.0,1.0,0.0,0.0,2014
SUNDERLAND,BURNLEY,2-0,12.0,3.0,0.0,0.0,12.0,1.0,0.0,0.0,2014
STOKE,QPR,3-1,11.0,2.0,0.0,0.0,12.0,2.0,0.0,0.0,2014
WEST BROM,TOTTENHAM,0-3,8.0,2.0,0.0,0.0,13.0,1.0,0.0,0.0,2014
MAN UTD,LEICESTER CITY,3-1,8.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,2014
CRYSTAL PALACE,EVERTON,0-1,12.0,0.0,0.0,0.0,14.0,4.0,0.0,0.0,2014
CHELSEA,MAN CITY,1-1,12.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,2014
ARSENAL,ASTON VILLA,5-0,6.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,2014
SOUTHAMPTON,SWANSEA,0-1,11.0,1.0,0.0,1.0,9.0,1.0,0.0,0.0,2014
TOTTENHAM,ARSENAL,2-1,8.0,3.0,0.0,0.0,12.0,5.0,0.0,0.0,2014
MAN CITY,HULL CITY,1-1,9.0,2.0,0.0,0.0,8.0,4.0,0.0,0.0,2014
SWANSEA,SUNDERLAND,1-1,11.0,3.0,0.0,0.0,13.0,4.0,0.0,0.0,2014
QPR,SOUTHAMPTON,0-1,13.0,2.0,0.0,0.0,16.0,2.0,0.0,0.0,2014
LEICESTER CITY,CRYSTAL PALACE,0-1,15.0,4.0,0.0,0.0,6.0,1.0,0.0,0.0,2014
ASTON VILLA,CHELSEA,1-2,8.0,3.0,0.0,0.0,7.0,2.0,0.0,0.0,2014
EVERTON,LIVERPOOL,0-0,11.0,4.0,0.0,0.0,7.0,1.0,0.0,0.0,2014
BURNLEY,WEST BROM,2-2,10.0,0.0,0.0,0.0,15.0,4.0,0.0,0.0,2014
NEWCASTLE,STOKE,1-1,14.0,2.0,0.0,0.0,17.0,4.0,0.0,0.0,2014
WEST HAM,MAN UTD,1-1,7.0,2.0,0.0,0.0,13.0,3.0,1.0,0.0,2014
SUNDERLAND,QPR,0-2,8.0,2.0,0.0,0.0,12.0,3.0,0.0,0.0,2014
ARSENAL,LEICESTER CITY,2-1,13.0,2.0,0.0,0.0,14.0,2.0,0.0,0.0,2014
HULL CITY,ASTON VILLA,2-0,16.0,1.0,0.0,0.0,11.0,2.0,0.0,0.0,2014
LIVERPOOL,TOTTENHAM,3-2,13.0,3.0,0.0,0.0,17.0,6.0,0.0,0.0,2014
MAN UTD,BURNLEY,3-1,15.0,4.0,0.0,0.0,8.0,3.0,0.0,0.0,2014
SOUTHAMPTON,WEST HAM,0-0,12.0,2.0,0.0,0.0,11.0,1.0,0.0,1.0,2014
STOKE,MAN CITY,1-4,6.0,1.0,0.0,0.0,11.0,2.0,0.0,0.0,2014
CHELSEA,EVERTON,1-0,8.0,3.0,0.0,0.0,13.0,4.0,1.0,0.0,2014
WEST BROM,SWANSEA,2-0,11.0,2.0,0.0,0.0,12.0,1.0,0.0,0.0,2014
CRYSTAL PALACE,NEWCASTLE,1-1,10.0,1.0,0.0,0.0,11.0,2.0,0.0,0.0,2014
ASTON VILLA,STOKE,1-2,11.0,2.0,1.0,0.0,14.0,3.0,0.0,0.0,2014
SUNDERLAND,WEST BROM,0-0,11.0,1.0,0.0,0.0,12.0,2.0,0.0,0.0,2014
