Home Team,Away Team,Score,Home Team Fouls,Home Team Yellow Cards,Home Team Second Yellow Cards,Home Team Red Cards,Away Team Fouls,Away Team Yellow Cards,Away Team Second Yellow Cards,Away Team Red Cards,year
MAN UTD,SWANSEA,1-2,14.0,2.0,0.0,0.0,20.0,4.0,0.0,0.0,2014
WEST BROM,SUNDERLAND,2-2,18.0,3.0,0.0,0.0,9.0,1.0,0.0,0.0,2014
LEICESTER CITY,EVERTON,2-2,16.0,1.0,0.0,0.0,10.0,1.0,0.0,0.0,2014
WEST HAM,TOTTENHAM,0-1,12.0,2.0,1.0,0.0,10.0,0.0,0.0,1.0,2014
QPR,HULL CITY,0-1,10.0,1.0,0.0,0.0,10.0,2.0,0.0,0.0,2014
STOKE,ASTON VILLA,0-1,14.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,2014
ARSENAL,CRYSTAL PALACE,2-1,13.0,2.0,0.0,0.0,19.0,3.0,1.0,0.0,2014
LIVERPOOL,SOUTHAMPTON,2-1,8.0,1.0,0.0,0.0,11.0,2.0,0.0,0.0,2014
NEWCASTLE,MAN CITY,0-2,8.0,1.0,0.0,0.0,11.0,5.0,0.0,0.0,2014
BURNLEY,CHELSEA,1-3,6.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,2014
ASTON VILLA,NEWCASTLE,0-0,11.0,4.0,0.0,0.0,8.0,2.0,1.0,0.0,2014
SWANSEA,BURNLEY,1-0,14.0,2.0,0.0,0.0,13.0,1.0,0.0,0.0,2014
CHELSEA,LEICESTER CITY,2-0,11.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,2014
SOUTHAMPTON,WEST BROM,0-0,14.0,1.0,0.0,0.0,15.0,2.0,0.0,0.0,2014
CRYSTAL PALACE,WEST HAM,1-3,14.0,1.0,0.0,0.0,11.0,3.0,0.0,0.0,2014
EVERTON,ARSENAL,2-2,10.0,1.0,0.0,0.0,18.0,4.0,0.0,0.0,2014
TOTTENHAM,QPR,4-0,12.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,2014
HULL CITY,STOKE,1-1,10.0,1.0,0.0,1.0,10.0,3.0,0.0,0.0,2014
SUNDERLAND,MAN UTD,1-1,10.0,0.0,0.0,0.0,15.0,2.0,0.0,0.0,2014
MAN CITY,LIVERPOOL,3-1,13.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,2014
BURNLEY,MAN UTD,0-0,10.0,2.0,0.0,0.0,14.0,2.0,0.0,0.0,2014
MAN CITY,STOKE,0-1,14.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0,2014
SWANSEA,WEST BROM,3-0,10.0,1.0,0.0,0.0,8.0,2.0,0.0,0.0,2014
NEWCASTLE,CRYSTAL PALACE,3-3,12.0,1.0,0.0,0.0,19.0,3.0,0.0,0.0,2014
